NMFS_DNA_ID,sample_type,repunit,collection
NF000265,reference,Semidi,Semidi
NF000266,reference,Semidi,Semidi
NF000267,reference,Semidi,Semidi
NF000268,reference,Semidi,Semidi
NF000269,reference,Semidi,Semidi
NF000270,reference,Semidi,Semidi
NF000271,reference,Semidi,Semidi
NF000272,reference,Semidi,Semidi
NF000273,reference,Semidi,Semidi
NF000274,reference,Semidi,Semidi
NF000275,reference,Semidi,Semidi
NF000276,reference,Semidi,Semidi
NF000277,reference,Semidi,Semidi
NF000278,reference,Semidi,Semidi
NF000279,reference,Semidi,Semidi
NF000281,reference,Semidi,Semidi
NF000282,reference,Semidi,Semidi
NF000283,reference,Semidi,Semidi
NF000284,reference,Semidi,Semidi
NF000285,reference,Semidi,Semidi
NF000286,reference,Semidi,Semidi
NF000287,reference,Semidi,Semidi
NF000288,reference,Semidi,Semidi
NF000289,reference,Semidi,Semidi
NF000290,reference,Semidi,Semidi
NF000291,reference,Semidi,Semidi
NF000292,reference,Semidi,Semidi
NF000293,reference,Semidi,Semidi
NF000294,reference,Semidi,Semidi
NF000295,reference,Semidi,Semidi
NF000296,reference,Semidi,Semidi
NF000297,reference,Semidi,Semidi
NF000298,reference,Semidi,Semidi
NF000299,reference,Semidi,Semidi
NF000300,reference,Semidi,Semidi
NF000301,reference,Semidi,Semidi
NF000302,reference,Semidi,Semidi
NF000303,reference,Semidi,Semidi
NF000304,reference,Semidi,Semidi
NF000305,reference,Semidi,Semidi
NF000306,reference,Semidi,Semidi
NF000307,reference,Semidi,Semidi
NF000308,reference,Semidi,Semidi
NF000309,reference,Semidi,Semidi
NF000310,reference,Semidi,Semidi
NF000311,reference,Semidi,Semidi
NF000312,reference,Semidi,Semidi
NF000313,reference,Semidi,Semidi
NF000314,reference,Semidi,Semidi
NF000315,reference,Semidi,Semidi
NF000316,reference,Semidi,Semidi
NF000318,reference,Semidi,Semidi
NF000319,reference,Semidi,Semidi
NF000320,reference,Semidi,Semidi
NF000321,reference,Semidi,Semidi
NF000322,reference,Semidi,Semidi
NF000323,reference,Semidi,Semidi
NF000324,reference,Semidi,Semidi
NF000325,reference,Semidi,Semidi
NF000326,reference,Semidi,Semidi
NF000327,reference,Semidi,Semidi
NF000328,reference,Semidi,Semidi
NF000329,reference,Semidi,Semidi
NF000330,reference,Semidi,Semidi
NF000331,reference,Semidi,Semidi
NF000332,reference,Semidi,Semidi
NF000333,reference,Semidi,Semidi
NF000334,reference,Semidi,Semidi
NF000335,reference,Semidi,Semidi
NF000336,reference,Semidi,Semidi
NF000337,reference,Semidi,Semidi
NF000338,reference,Semidi,Semidi
NF000339,reference,Semidi,Semidi
NF000340,reference,Semidi,Semidi
NF000341,reference,Semidi,Semidi
NF000342,reference,Semidi,Semidi
NF000343,reference,Semidi,Semidi
NF000344,reference,Semidi,Semidi
NF000345,reference,Semidi,Semidi
NF000346,reference,Semidi,Semidi
NF000347,reference,Semidi,Semidi
NF000348,reference,Semidi,Semidi
NF000349,reference,Semidi,Semidi
NF000350,reference,Semidi,Semidi
NF000351,reference,Semidi,Semidi
NF000352,reference,Semidi,Semidi
NF000353,reference,Semidi,Semidi
NF000354,reference,Semidi,Semidi
NF000355,reference,Semidi,Semidi
NF000356,reference,Semidi,Semidi
NF000357,reference,Semidi,Semidi
NF000358,reference,Semidi,Semidi
NF000359,reference,Semidi,Semidi
NF000360,reference,Semidi,Semidi
NF000361,reference,Semidi,Semidi
NF000392,reference,Semidi,Semidi
NF000393,reference,Semidi,Semidi
NF000395,reference,Semidi,Semidi
NF000396,reference,Semidi,Semidi
NF000397,reference,Semidi,Semidi
NF000398,reference,Semidi,Semidi
NF000399,reference,Semidi,Semidi
NF000400,reference,Semidi,Semidi
NF000401,reference,Semidi,Semidi
NF000402,reference,Semidi,Semidi
NF000403,reference,Semidi,Semidi
NF000404,reference,Semidi,Semidi
NF000405,reference,Semidi,Semidi
NF000406,reference,Semidi,Semidi
NF000407,reference,Semidi,Semidi
NF000408,reference,Semidi,Semidi
NF000414,reference,Semidi,Semidi
NF000423,reference,Semidi,Semidi
NF000432,reference,Semidi,Semidi
NF000433,reference,Semidi,Semidi
NF000434,reference,Semidi,Semidi
NF000436,reference,Semidi,Semidi
NF000439,reference,Semidi,Semidi
NF000440,reference,Semidi,Semidi
NF000441,reference,Semidi,Semidi
NF000443,reference,Semidi,Semidi
NF000447,reference,Semidi,Semidi
NF000448,reference,Semidi,Semidi
NF000453,reference,Semidi,Semidi
NF000457,reference,Semidi,Semidi
NF000458,reference,Semidi,Semidi
NF000459,reference,Semidi,Semidi
NF000466,reference,Semidi,Semidi
NF000467,reference,Semidi,Semidi
NF000468,reference,Semidi,Semidi
NF000469,reference,Semidi,Semidi
NF000470,reference,Semidi,Semidi
NF000471,reference,Semidi,Semidi
NF000472,reference,Semidi,Semidi
