SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score,TemporalAvail,SpatialAvail,FisheriesCollMonth,FisheriesCollSeason,FisheriesLatDD,FisheriesLongDD,MissingSBND
10-0443,NF001960,Pribilof,0.994794609,0.014386394,1,1,9,breeding,59.16667,-176.96667,
10-0444,NF001961,Semidi,0.997836657,1.585160974,1,1,11,nonbreeding,56.04167,-163.81667,
10-0445,NF001962,StMatthew,0.999991331,0.223721475,1,1,10,nonbreeding,58.75,-174.35,
10-0447,NF001964,Pribilof,0.999606232,1.317752586,1,1,9,breeding,59.53333,-177.16667,3555
10-0448,NF001965,Pribilof,0.996575451,0.610728676,1,0,7,breeding,,,
10-0450,NF001967,StMatthew,0.994597874,1.184655605,1,1,8,breeding,59.35,-176.6,
10-0501,NF001968,Semidi,0.99637679,0.112736981,1,1,11,nonbreeding,57.01528,-173.41944,
10-0502,NF001969,Semidi,0.99694734,0.395982104,1,1,10,nonbreeding,57.01528,-173.41944,
10-0503,NF001970,Pribilof,0.999937715,0.874086225,1,1,9,breeding,59.61667,-175.29333,
10-0504,NF001971,Semidi,0.999999975,-0.563060689,1,1,11,nonbreeding,59.11667,-176.81667,
10-0508,NF001975,Semidi,0.944029914,0.70445996,1,1,9,breeding,59.99833,-176.71167,
10-0511,NF001978,Semidi,0.999735479,-1.663141087,1,1,11,nonbreeding,57.29667,-172.13583,
10-0512,NF001979,Pribilof,0.999767104,0.387489642,1,1,11,nonbreeding,56.85472,-168.18333,
10-0515,NF001981,Semidi,0.993688357,1.322105433,1,1,10,nonbreeding,57.66667,-171.04167,
10-0520,NF001983,StMatthew,0.99955422,0.301703019,1,1,10,nonbreeding,57.66667,-171.04167,
10-0521,NF001984,Pribilof,0.998343944,0.204349489,1,1,10,nonbreeding,57.66667,-171.04167,
10-0524,NF001987,Pribilof,0.999956663,-0.30254543,1,1,10,nonbreeding,57.66667,-171.04167,
10-0527,NF001990,StMatthew,0.999446222,0.149220453,1,1,10,nonbreeding,57.66667,-171.04167,
10-0528,NF001991,Pribilof,0.999596853,-0.808297852,1,1,9,breeding,58.99167,-176.625,
10-0546,NF001992,Pribilof,0.998908337,-0.36969719,1,1,9,breeding,59.61667,-175.29333,
10-0547,NF001993,StMatthew,0.999634667,0.558761901,1,1,9,breeding,59.61667,-175.29333,
