NMFS_DNA_ID,group
NF000431,Semidi
NF000432,Semidi
NF000433,Semidi
NF000434,Semidi
NF000435,Semidi
NF000436,Semidi
NF000437,Semidi
NF000438,Semidi
NF000439,Semidi
NF000440,Semidi
NF000441,Semidi
NF000442,Semidi
NF000443,Semidi
NF000444,Semidi
NF000445,Semidi
NF000446,Semidi
NF000447,Semidi
NF000448,Semidi
NF000449,Semidi
NF000450,Semidi
NF000451,Semidi
NF000452,Semidi
NF000453,Semidi
NF000454,Semidi
NF000455,Semidi
NF000456,Semidi
NF000457,Semidi
NF000458,Semidi
NF000459,Semidi
NF000460,Semidi
NF000461,Semidi
NF000462,Semidi
NF000463,Semidi
NF000464,Semidi
NF000465,Semidi
NF000466,Semidi
NF000467,Semidi
NF000468,Semidi
NF000469,Semidi
NF000470,Semidi
NF000471,Semidi
NF000472,Semidi
NF000473,Semidi
NF000474,Semidi
NF000145,StMatthew
NF000146,StMatthew
NF000147,StMatthew
NF000148,StMatthew
NF000149,StMatthew
NF000150,StMatthew
NF000151,StMatthew
NF000152,StMatthew
NF000153,StMatthew
NF000154,StMatthew
NF000155,StMatthew
NF000156,StMatthew
NF000157,StMatthew
NF000158,StMatthew
NF000159,StMatthew
NF000160,StMatthew
NF000161,StMatthew
NF000162,StMatthew
NF000163,StMatthew
NF000164,StMatthew
NF000165,StMatthew
NF000166,StMatthew
NF000167,StMatthew
NF000168,StMatthew
NF000169,StMatthew
NF000170,StMatthew
NF000171,StMatthew
NF000172,StMatthew
NF000173,StMatthew
NF000174,StMatthew
NF000175,StMatthew
NF000176,StMatthew
NF000177,StMatthew
NF000178,StMatthew
NF000179,StMatthew
NF000180,StMatthew
NF000181,StMatthew
NF000182,StMatthew
NF000183,StMatthew
NF000184,StMatthew
NF000185,StMatthew
NF000186,StMatthew
NF000187,StMatthew
NF000188,StMatthew
NF000189,StMatthew
NF000190,StMatthew
NF000191,StMatthew
NF000192,StMatthew
NF000600,StMatthew
NF000601,StMatthew
NF000602,StMatthew
NF000603,StMatthew
NF000604,StMatthew
NF000605,StMatthew
NF000606,StMatthew
NF000607,StMatthew
NF000608,StMatthew
NF000609,StMatthew
NF000610,StMatthew
NF000611,StMatthew
