SAMPLE_ID,NMFS_DNA_ID,collection,PofZ,z_score
13-0332,NF001541,StMatthew,0.9850895853454805,0.014506564187887558
13-0333,NF001542,StMatthew,0.9997246374381016,-0.5541699413547685
13-0335,NF001544,Semidi,0.996016034821108,1.370617745995549
13-0336,NF001545,Semidi,0.9982201987653947,1.4236345574868516
13-0337,NF001546,Semidi,0.9935855570255804,1.7733469628740353
13-0338,NF001547,Semidi,0.9999981428455493,0.3863976588996812
13-0349,NF001548,StMatthew,0.9991090211099057,-0.5479051046573609
13-0350,NF001549,StMatthew,0.9995874303499097,0.008517472482810595
13-0351,NF001550,Pribilof,0.9947117511616248,-0.134073502819361
13-0352,NF001551,Semidi,0.9995951400268116,0.4346123045278887
13-0354,NF001553,Semidi,0.996962351074262,-0.40016994811954665
13-0355,NF001554,Semidi,0.9989637821825139,0.9662197085587605
13-0357,NF001556,StMatthew,0.999933937347334,0.0703155864937786
13-0413,NF001557,Semidi,0.9991029429057806,0.46986182967905027
13-0414,NF001558,Semidi,0.9979642369377214,1.379339143168407
13-0415,NF001559,Semidi,0.9900998112342374,1.3140726855247395
13-0464,NF001560,Pribilof,0.9929220925897718,-0.0832149783990812
13-0465,NF001561,Semidi,0.9999855668885882,0.3495581773248069
13-0467,NF001563,Semidi,0.999992621632934,1.0821860449619276
13-0472,NF001567,Chagulak,0.9985891300787151,1.1312856888105298
13-0478,NF001572,Pribilof,0.9630410247002696,1.8377556785050908
13-0479,NF001573,Semidi,0.96540795250637,0.31985687105626426
13-0480,NF001574,StMatthew,0.9982843241761897,1.2422112860356809
13-0481,NF001575,Pribilof,0.9978968578502561,1.6337117614004864
13-0483,NF001577,Semidi,0.9911631391393103,0.377405734818235
13-0484,NF001578,Semidi,0.9984763394612516,-0.06344250554812006
13-0485,NF001579,Pribilof,0.9992395384589137,1.6949157318160475
13-0488,NF001582,Chagulak,0.9999831028160184,-2.18131245702891
13-0489,NF001583,Pribilof,0.9998651785141432,0.5323983700502026
12-0010,NF001584,Semidi,0.9998556360411249,0.6645609940906175
12-0012,NF001586,Semidi,0.9999202289037077,1.7573996562256489
12-0013,NF001587,Semidi,0.9414251545241015,-0.1458997556517313
12-0014,NF001588,Semidi,0.999512043675682,-0.3166629502472754
12-0015,NF001589,Semidi,0.999045173865972,1.4440526147756683
12-0016,NF001590,Pribilof,0.9999983026095156,0.06597927011487155
12-0017,NF001591,StMatthew,0.9999837491272446,0.028521765247900465
12-0020,NF001594,StMatthew,0.9647273723760615,0.3411518929537436
12-0021,NF001595,Pribilof,0.9828026756600591,0.7103135654675925
12-0022,NF001596,StMatthew,0.9961288002328686,0.9126265403404084
12-0027,NF001601,StMatthew,0.9984746894603362,0.7662567204613534
12-0030,NF001604,Pribilof,0.9981954638442965,1.7752764539178498
12-0031,NF001605,Pribilof,0.9999215478839881,-0.6091471809595831
12-0032,NF001606,Semidi,0.9999774806329151,0.6209297583584097
12-0034,NF001608,StMatthew,0.9753827079992572,1.931676322708569
12-0035,NF001609,Chagulak,0.9999048135553416,1.86816541829229
12-0036,NF001610,Chagulak,0.9809656271052619,-0.1299760148184584
12-0037,NF001611,Pribilof,0.9975812030565321,0.7294633735951238
12-0040,NF001614,Chagulak,0.9997532291247527,-0.7116010110447677
12-0041,NF001615,Pribilof,0.9999429287035542,0.9920623197892138
12-0043,NF001617,Pribilof,0.9992905889270581,1.3123246391167083
12-0046,NF001620,Pribilof,0.9995808500821705,1.1183338927932298
12-0047,NF001621,Chagulak,0.9999968641773899,-1.0905263112842472
12-0048,NF001622,Pribilof,0.9998650950757361,0.511035085290927
12-0049,NF001623,Semidi,0.989723118302536,-0.2807422096729976
12-0050,NF001624,StMatthew,0.9827065762608941,1.278972196290123
12-0051,NF001625,Semidi,0.9995658083236819,0.9837428557654551
12-0053,NF001626,Chagulak,0.9992493061907493,0.47989854018122524
12-0054,NF001627,Pribilof,0.9989877692353956,0.07052040392819044
12-0055,NF001628,StMatthew,0.9777630013775197,1.985699086924659
12-0056,NF001629,StMatthew,0.9774087360419916,1.7507160280893495
12-0057,NF001630,Semidi,0.9999409041723462,-0.32028041557578946
12-0058,NF001631,Chagulak,0.9940272536890069,0.29087654457294754
12-0059,NF001632,StMatthew,0.9963435272130381,0.590875298918859
12-0060,NF001633,Chagulak,0.9987693361315241,1.1203078646133915
12-0063,NF001635,Pribilof,0.9992971110229116,-0.12733179226491695
12-0065,NF001637,StMatthew,0.9999755282729501,-0.11207398895764424
12-0068,NF001640,Semidi,0.9985545922049532,0.3084333681821939
12-0069,NF001641,Semidi,0.9997272139337918,1.2657066702599922
12-0070,NF001642,StMatthew,0.9980275180237927,0.7315917605209487
12-0071,NF001643,StMatthew,0.999950977445955,-0.6409192903026595
12-0072,NF001644,StMatthew,0.9904657127190801,-0.5646496717507107
12-0073,NF001645,Pribilof,0.9999919883995614,-1.095870406147192
12-0074,NF001646,Pribilof,0.9989530609546606,1.1112468737240164
12-0075,NF001647,Semidi,0.9998486106050876,-1.421641561620581
12-0076,NF001648,Chagulak,0.9916880864900168,-2.142246600746464
12-0077,NF001649,Semidi,0.9901157795978088,1.641848302756388
12-0078,NF001650,StMatthew,0.9983127384307977,-0.5422145382184568
12-0079,NF001651,StMatthew,0.9999765937864219,-0.045706157152259376
12-0080,NF001652,Chagulak,0.9494028370489768,0.4027121080912861
11-0194,NF001655,StMatthew,0.997553708092723,0.9093997536864231
11-0195,NF001656,Semidi,0.9998635114079342,0.6114937823423142
11-0196,NF001657,Chagulak,0.9982931627114773,0.3922754717172585
11-0197,NF001658,Chagulak,0.9994588764622309,0.4971592881465856
11-0199,NF001659,StMatthew,0.9998572558988313,-0.9752586251806028
11-0200,NF001660,Semidi,0.9998954130261398,1.1787730339140219
11-0201,NF001661,Semidi,0.9890460690219186,0.11197202836520193
11-0218,NF001662,Semidi,0.9915469506994323,1.000870516033995
11-0223,NF001666,StMatthew,0.9972858058333881,1.4501057899808654
11-0224,NF001667,StMatthew,0.9923163468319991,-1.8613672638071694
11-0225,NF001668,StMatthew,0.9999580718138616,-1.2655062418493237
11-0287,NF001671,Pribilof,0.9997101858125954,0.8855891532906005
11-0331,NF001674,Semidi,0.9992966394879095,1.0068224841016065
11-0332,NF001675,Chagulak,0.9999752757034011,1.5498983284645114
11-0333,NF001676,Chagulak,0.997000147328859,-1.0680232038289166
11-0347,NF001678,Pribilof,0.998056582561241,1.265781299051665
11-0348,NF001679,StMatthew,0.9951185868057738,0.24728744609413994
11-0349,NF001680,Semidi,0.9995970433110447,-0.264709777148489
11-0350,NF001681,Semidi,0.9999924939987118,-0.15945509671259678
11-0351,NF001682,Semidi,0.9998489704227504,-0.49235356718115375
11-0352,NF001683,StMatthew,0.9983911393296258,0.716034174192027
11-0355,NF001686,Pribilof,0.9995925158679609,-0.06922572806436372
11-0368,NF001691,StMatthew,0.9944431538019418,0.3431178634053736
11-0369,NF001692,Semidi,0.9254990560518377,0.15259961412606082
11-0371,NF001694,Semidi,0.9999585892509306,0.054456593002782876
11-0373,NF001696,Pribilof,0.9887848855593727,1.1975244428123661
11-0375,NF001698,Semidi,0.996503763563797,-0.3396056060399203
11-0376,NF001699,Semidi,0.9980525222270725,-1.4041824250246815
11-0565,NF001702,Pribilof,0.9999564505116395,1.112801959161999
11-0566,NF001703,Pribilof,0.9936720011549178,1.174310198499338
11-0567,NF001704,Semidi,0.9967206160167495,0.23537875428492394
11-0568,NF001705,Semidi,0.9996897495096877,1.5290825133658335
11-0569,NF001706,StMatthew,0.9644749041383393,-0.7986497900772609
11-0570,NF001707,Chagulak,0.9918825917638536,0.3208882403109021
11-0572,NF001709,Chagulak,0.9999016959375979,-2.197312490429461
